side,m1_previous_body_bucket,m1_previous_range_bucket,m1_previous_volume_bucket,directional_alignment,horizon_minutes,sample_size,sample_status,success_rate,avg_mfe_atr,avg_mae_atr,avg_return_atr,median_return_atr
DOWN,SMALL_BODY,EXPANSION_RANGE,NORMAL_VOLUME,NO_ALIGNMENT,5,127,INSUFFICIENT_SAMPLE,0.5984251968503937,1.375555533776766,1.074121709911844,0.21212459954451499,0.2395892755276691
DOWN,STRONG_BODY,NORMAL_RANGE,LOW_VOLUME,FULL_ALIGNMENT,5,127,INSUFFICIENT_SAMPLE,0.49606299212598426,1.315859510661327,1.111726123850459,-0.07530519835746295,-0.02537253322597654
UP,STRONG_BODY,NORMAL_RANGE,LOW_VOLUME,NO_ALIGNMENT,5,117,INSUFFICIENT_SAMPLE,0.5470085470085471,1.3247068886082487,1.0101239291242354,0.1607705345637452,0.11019283746545726
UP,SMALL_BODY,EXPANSION_RANGE,NORMAL_VOLUME,FULL_ALIGNMENT,5,116,INSUFFICIENT_SAMPLE,0.49137931034482757,1.391177854290858,1.2528530292810187,0.0051899757316868685,-0.051365136352515155
UP,STRONG_BODY,NORMAL_RANGE,LOW_VOLUME,FULL_ALIGNMENT,5,114,INSUFFICIENT_SAMPLE,0.45614035087719296,1.350749183497561,1.1703193851992142,0.02896279132020142,-0.06050020036867562
DOWN,STRONG_BODY,EXPANSION_RANGE,LOW_VOLUME,PARTIAL_ALIGNMENT,5,113,INSUFFICIENT_SAMPLE,0.5575221238938053,1.646413863073189,1.2080736632994333,0.14246533727696933,0.13298791019012707
DOWN,STRONG_BODY,NORMAL_RANGE,LOW_VOLUME,NO_ALIGNMENT,5,113,INSUFFICIENT_SAMPLE,0.5663716814159292,1.2751724432498723,1.0546049682143028,0.15536695446946114,0.14925373134333253
DOWN,STRONG_BODY,EXPANSION_RANGE,HIGH_VOLUME,FULL_ALIGNMENT,5,105,INSUFFICIENT_SAMPLE,0.44761904761904764,1.3727658024008609,1.7486272096154554,-0.3203811552910124,-0.34379857009634646
UP,MEDIUM_BODY,NORMAL_RANGE,LOW_VOLUME,FULL_ALIGNMENT,5,104,INSUFFICIENT_SAMPLE,0.625,1.561473085553736,0.817338005036117,0.3493277261138258,0.2232220964645832
UP,STRONG_BODY,LOW_RANGE,LOW_VOLUME,FULL_ALIGNMENT,5,102,INSUFFICIENT_SAMPLE,0.6176470588235294,1.4869364100850506,0.8078244256035757,0.2262206666901132,0.33855389569575645
DOWN,MEDIUM_BODY,NORMAL_RANGE,LOW_VOLUME,FULL_ALIGNMENT,5,99,INSUFFICIENT_SAMPLE,0.5151515151515151,1.2949989174008114,1.0062511529431255,0.21555118089132033,0.280230326295758
DOWN,STRONG_BODY,LOW_RANGE,LOW_VOLUME,NO_ALIGNMENT,5,99,INSUFFICIENT_SAMPLE,0.5858585858585859,1.265664992935234,0.9799379335166781,0.11102293428838586,0.028440832910081364
UP,STRONG_BODY,LOW_RANGE,LOW_VOLUME,NO_ALIGNMENT,5,96,INSUFFICIENT_SAMPLE,0.5729166666666666,1.2322162992747276,0.9440869155817294,0.17714013172037305,0.11794856043499743
UP,MEDIUM_BODY,NORMAL_RANGE,LOW_VOLUME,NO_ALIGNMENT,5,94,INSUFFICIENT_SAMPLE,0.5851063829787234,1.464161952598468,1.0824719450729121,0.22798726797282987,0.0662224492839745
DOWN,STRONG_BODY,LOW_RANGE,LOW_VOLUME,FULL_ALIGNMENT,5,88,INSUFFICIENT_SAMPLE,0.5568181818181818,1.3558842232350892,1.1656023386630674,-0.07623836535058817,-0.18364856774597682
DOWN,SMALL_BODY,NORMAL_RANGE,LOW_VOLUME,FULL_ALIGNMENT,5,87,INSUFFICIENT_SAMPLE,0.4482758620689655,1.4317059733496587,1.3315488184633786,-0.21030055885648322,-0.2720333102009873
DOWN,SMALL_BODY,NORMAL_RANGE,HIGH_VOLUME,PARTIAL_ALIGNMENT,5,86,INSUFFICIENT_SAMPLE,0.5232558139534884,1.5350279929937702,1.0423670888697274,0.19456135266682606,0.308165074146705
UP,SMALL_BODY,NORMAL_RANGE,HIGH_VOLUME,PARTIAL_ALIGNMENT,5,85,INSUFFICIENT_SAMPLE,0.5882352941176471,1.5988249732838855,1.0363767295475597,0.5176289476280573,0.4864705012569197
DOWN,MEDIUM_BODY,NORMAL_RANGE,LOW_VOLUME,NO_ALIGNMENT,5,83,INSUFFICIENT_SAMPLE,0.5903614457831325,1.4604582160227089,0.9679538665490096,0.33896587354642554,0.5676523297492426
UP,SMALL_BODY,NORMAL_RANGE,LOW_VOLUME,NO_ALIGNMENT,5,75,INSUFFICIENT_SAMPLE,0.4533333333333333,1.1008872609930944,1.3082196899465472,-0.2058007015434969,-0.30259365994246296
UP,STRONG_BODY,EXPANSION_RANGE,HIGH_VOLUME,NO_ALIGNMENT,5,73,INSUFFICIENT_SAMPLE,0.6301369863013698,1.360026576911049,1.2341309424734832,-0.0254113133813852,0.0402877697841318
UP,MEDIUM_BODY,EXPANSION_RANGE,HIGH_VOLUME,NO_ALIGNMENT,5,71,INSUFFICIENT_SAMPLE,0.5070422535211268,1.3084649662448533,1.4108862038960965,-0.08441323873950413,-0.02865916069598351
UP,SMALL_BODY,EXPANSION_RANGE,HIGH_VOLUME,NO_ALIGNMENT,5,71,INSUFFICIENT_SAMPLE,0.5633802816901409,1.822187769815896,1.546674099132454,0.3300868384971263,0.4197730956238686
UP,SMALL_BODY,NORMAL_RANGE,LOW_VOLUME,FULL_ALIGNMENT,5,71,INSUFFICIENT_SAMPLE,0.4647887323943662,1.2029447289157462,1.1207987426068626,-0.1841589526628582,-0.08240141259594974
DOWN,SMALL_BODY,EXPANSION_RANGE,HIGH_VOLUME,NO_ALIGNMENT,5,66,INSUFFICIENT_SAMPLE,0.5606060606060606,1.608315529062331,1.382359472747604,0.1499679032280325,0.13194643056681718
DOWN,MEDIUM_BODY,EXPANSION_RANGE,HIGH_VOLUME,NO_ALIGNMENT,5,64,INSUFFICIENT_SAMPLE,0.546875,1.4515086643657642,1.2707081753300855,0.03562723088526258,0.2063948978711715
DOWN,MEDIUM_BODY,EXPANSION_RANGE,HIGH_VOLUME,FULL_ALIGNMENT,5,62,INSUFFICIENT_SAMPLE,0.46774193548387094,1.5862263778697587,1.3934056467414513,0.12185601366506356,-0.0516066446418591
UP,MEDIUM_BODY,EXPANSION_RANGE,HIGH_VOLUME,FULL_ALIGNMENT,5,61,INSUFFICIENT_SAMPLE,0.5573770491803278,2.360523004496716,1.1144362303650481,0.5948822655187194,0.25389980976535
UP,MEDIUM_BODY,NORMAL_RANGE,HIGH_VOLUME,PARTIAL_ALIGNMENT,5,60,INSUFFICIENT_SAMPLE,0.5,1.5833709297800025,1.1714929873435764,0.2590563421062469,0.26500612398699297
DOWN,STRONG_BODY,EXPANSION_RANGE,HIGH_VOLUME,NO_ALIGNMENT,5,56,INSUFFICIENT_SAMPLE,0.5714285714285714,1.1586710872734944,1.236737752796508,0.05351132387555234,0.14325386342933946
DOWN,SMALL_BODY,NORMAL_RANGE,LOW_VOLUME,NO_ALIGNMENT,5,54,INSUFFICIENT_SAMPLE,0.7037037037037037,1.6607970480019243,0.811207298523147,0.69645966872642,0.5552526814589429
DOWN,MEDIUM_BODY,NORMAL_RANGE,HIGH_VOLUME,PARTIAL_ALIGNMENT,5,52,INSUFFICIENT_SAMPLE,0.38461538461538464,1.245281320490399,1.5622765685499955,-0.5093494451992504,-0.5848150228967355
UP,STRONG_BODY,NORMAL_RANGE,HIGH_VOLUME,PARTIAL_ALIGNMENT,5,50,INSUFFICIENT_SAMPLE,0.54,1.3968996796333482,1.015380679424662,0.19799247324695138,0.16201124635542846
UP,SMALL_BODY,EXPANSION_RANGE,HIGH_VOLUME,FULL_ALIGNMENT,5,47,INSUFFICIENT_SAMPLE,0.425531914893617,1.297429183770687,1.5518939777007288,-0.20919472190590774,-0.4806019280508128
DOWN,SMALL_BODY,EXPANSION_RANGE,HIGH_VOLUME,FULL_ALIGNMENT,5,42,INSUFFICIENT_SAMPLE,0.5,1.7496227063154133,1.2963996719791755,0.09592319328217742,-0.06891871072499042
