timeframe,pattern_type,breakout_side,h1_color,h4_color,htf_alignment,horizon_minutes,sample_size,sample_status,success_rate,avg_return_atr,avg_mfe_atr,avg_mae_atr,avg_nearest_htf_obstacle_atr
M15,RANGE_BOX,DOWN,RED,RED,FULL,180,2,INSUFFICIENT_SAMPLE,1.0,0.7956897371958163,3.1566585829272444,0.15480983421965624,1.4894913265907084
M15,RANGE_BOX,UP,GREEN,GREEN,FULL,15,5,INSUFFICIENT_SAMPLE,0.0,-0.40178046414420965,0.18558811524721347,0.6046816768478305,0.5190109557804301
M15,RANGE_BOX,UP,GREEN,GREEN,FULL,30,5,INSUFFICIENT_SAMPLE,0.2,-0.4071920742052214,0.25188669968145677,0.8452973180404036,0.5190109557804301
M15,RANGE_BOX,UP,GREEN,GREEN,FULL,60,5,INSUFFICIENT_SAMPLE,0.2,-0.3498373537470038,0.26129393125658745,0.904439886065977,0.5190109557804301
M15,RANGE_BOX,UP,GREEN,GREEN,FULL,180,5,INSUFFICIENT_SAMPLE,0.4,-0.3824107696764928,0.8195977911649353,1.2814875973568876,0.5190109557804301
M15,RANGE_BOX,UP,GREEN,RED,PARTIAL_OR_NONE,15,4,INSUFFICIENT_SAMPLE,0.25,-0.06687243891572403,0.5470848757695299,0.7477954185679196,1.078221899359578
M15,RANGE_BOX,UP,GREEN,RED,PARTIAL_OR_NONE,30,4,INSUFFICIENT_SAMPLE,0.5,0.9951130643669212,1.46774241506589,0.8377942958247604,1.078221899359578
M15,RANGE_BOX,UP,GREEN,RED,PARTIAL_OR_NONE,60,4,INSUFFICIENT_SAMPLE,0.5,0.3969653471192568,1.7014106978030736,0.9555526863105432,1.078221899359578
M15,RANGE_BOX,UP,GREEN,RED,PARTIAL_OR_NONE,180,4,INSUFFICIENT_SAMPLE,0.5,1.5603489823324497,3.111476923575011,1.2938099181899472,1.078221899359578
M15,RANGE_BOX,UP,RED,GREEN,PARTIAL_OR_NONE,15,5,INSUFFICIENT_SAMPLE,0.4,-0.21081295854031148,0.32307575524259347,0.6467614762428086,0.3931796210775917
M15,RANGE_BOX,UP,RED,GREEN,PARTIAL_OR_NONE,30,5,INSUFFICIENT_SAMPLE,0.6,-0.028044902455084942,0.6316789397608196,0.853876435357529,0.3931796210775917
